boli,simptome
Himen imperforat,"""orifici, himenal, membrană, de, vagin, obstrucție, urinar, Acuză, retenție, infecție, al, tract, primar, durere, pelvină, sever, Hematocolpos, sânge, menstrual, trompă, uterin, presiune, vaginal, Constipație, lombar, Crampă, ciclic, introitus"""
Himenolepidoza (Himenolepioza),"""infecție, durere, abdominal, Crampă, greața, Inapetență, manifestare, alergic, Astenie, nespecific, Iritabilitate, neuropsihic"""
Hiperaciditatea gastrica,"""arsură, retrosternal, senzație, de, plenitudine, Ars, epigastric, Regurgitare, material, dureros, durere, substernal, mușchi, gât, Constipație, spastic, Indigestie, dispepsie, greața, ulcer, neplăcut, infecție, candidozic, cronic, sângerare, nazal, congestie"""
Hiperacuzie,"""sensibilitată, excesiv, dureri, sensibilitate, ureche, suprasolicitare, sistem, nervos, problemă, de, memorie, iritabilita, insomni, senzație, anxietate"""
Hiperaldosteronism primar (Sdr. Conn),"""hipertensiune, arterial, potasiu, plasmă, hipokaliemie, sodiu, hipernatremie, sânge, hipervolemie, slăbiciune, muscular, oboseală, Paralizie, tempora, Amorțeala, Polidipsie, excesiv, Poliurie"""
Hiperaldosteronism secundar,
Hipercalcemie,"""oboseală, hipercalcemie, anxietate, depresie, confuzie, somnolență, Comă, sever, letargi, Slăbiciune, Pareza, Poliurie, Litiază, renal, insuficiență, Constipație, greața, Anorexi, Pancreatita, ulcer, gastric, scheletic"""
Hipercolesterolemia poligenica,"""Xantom, eruptiv"""
Hipercolesterolemie familiala,"""boală, cardiac, ischemic, vascular, periferic, cerebrovascular, stenoză, aortic, Xantom, cutanat, planar, tuberos, tendinos, tendon, extensor, colesterol"""
Hiperestezia,"""sensibilitate, senzație, intens, dureros, piele, durere, intoleranță, acustic, sever, hiperestezie, auditiv, agitație, percepție, senzorial, excesiv, Greț, vărsătură, Insomnie, confuzie, Iritabilita, tulburare, de, memorie, comportament, ADHD"""
Hiperfenilalaninemia ușoară (Hiperfenilalaninemia non-fenilcetonurie),
Hipergammaglobulinemia,"""imunoglobulină, sânge, gamaglobulină, inflamație, nodulă, inflama, oboseala, rigiditate"""
Hiperglicemia neonatală,"""urină, poliurie, de, hrănire, Hemoragie, intracraniana, instabilitate, circulatoriu, periferica, tulburare, termoreglare, gastric"""
Hiperglicinemia noncetotică,"""hipotonie, letargi, coma, dificultate, de, problemă, ortopedic, respirator, progresiv, comportament, Neuropatie, optic, slăbiciune, cardiac, rezistență, Regresie"""
Hiperhidroza - transpiratia excesiva,"""transpirație, excesiv, axă, Criză, sudoral, psihogen, șoc, emoțional, acrocianoză, bromhidroză, erupție, keratolitic, talpă, sensibilitate"""
Hiperkaliemia (hiperpotasemia),"""aritmie, cardiac, senzație, de, neregulat, palpitație, greață, vărsătură, oboseală, slăbiciune, amorțire, respirație, dificil, Paralizie, fl, Bradicardie, tulburare, ritm, pauză, Ileus"""
Hiperlipoproteinemii,"""colesterol, trigliceridă, pancreatită, acut, Ateroscleroză, cerebral, coronariană, Xantom, tendinos, tuberos, cutanat, vas"""
Hipermetropia,"""acomodație, durere, frontal, jenă, oboseală, ocular, astenopie, spasm, acomodativ, ochi, diplopie"""
Hipernatremie (sodiul seric crescut),"""letargi, confuzie, Iritabilita, Nistagmune, coma, hipotensiune, arterial, ortostatic, axă, usca, slăbiciune, generalizate, agitație"""
Hiperosmia,"""patologie, greața, vărsătură"""
Hiperoxaluria primara si secundara,"""Nefrocalcinoza, tulburare, de, creștere, oxaloză, infantil, metabolică, sever, sistemic, insuficiență, renal, durere, osos, osteopatie, oxalic, eritropoietină, ischemie, Neuropatie, periferic, bloc, atrio-ventricular"""
Hiperparatiroidismul,"""Poliurie, Polidipsie, durere, flanc, recidivant, greața, vărsătură, Anorexie, Constipație, abdominal, hipertensiune, arterial, Bradicardie, slăbiciune, Fatigabilita, letargi, comă, osoate, Deformare, osos, carcinoamă, paratiroidian, răguși, Demineralizare, resorbție, subperiostal, tumoare, brun"""
Hiperparatiroidismul primar,"""manifestare, renal, durere, litiază, Poliurie, Polidipsie, Acidoză, hipercloremic, impotență, funcțional, osos, Deformare, sistem, nervos, asteni, Fatigabilita, Apatie, letargi, depresie, Psihoza, coma, neuromuscular, miopatie, proximal, Hiperreactivitate, reflexă, Fasciculație, cardiovascular, hipertensiune, arterial, Bradicardie, gastrointestinal, anorexie, greața, vărsătură, abdominal, Constipație, ocular, Calcificare, conjnctival, adenopatie, Disfonie, carcinom, paratiroidian"""
Hiperplazia adrenală congenitală prin deficit de 21-hidroxilază,"""Deshidratare, șoc, organ, sexual, extern, Hiperpigmentare, scrotal, Hirsutism, pilozitate, Anovulație, cronică, genital, Pilozitate, excesiv, Pubarhă"""
Hiperplazia endometrială,"""sângerare, vaginal, Menoragie, menstruală, excesiv, Metroragie"""
Hiperplazia gingivală,"""gingie, sensibilitată, gingival, Sângerare, Gingă, sensibil"""
Hiperprolactinemia,"""tulburare, al, ciclu, menstrual, de, dinamică, Galactoree, Ginecomastie"""
Hiperreactivitatea bronșică,"""Bronhoconstricție, exagerat, neproductiv, persistent, bronhospasm, histamină"""
Hipersexualitatea,"""Masturbare, pedofilie, voyeurism, exhibiționism, sadomasochism"""
Hipersomnia - somnolenta excesiva,"""somnolență, excesiv, somnolentă, diurn, confuzie, trezire, sindrom, mâncare, exagera, reflex, osteotendinoate, de, mișcare, involuntar, ocular, iritabilitate, neliniște, dezorientare, instabilitate, depresie"""
Hipersplenism,"""splină, Citopenie, periferic, celulă, sanguin, durere, splenomegalie, senzație, de, plenitudine, infecție, cel, alb, oboseală, cefalee, dificultate, respirație, frig"""
Hipertensiunea arteriala (HTA),"""oboseală, fizic, durere, de, cap, vertij, tulburare, al, somn, Iritabilita, Nervozita, digestiv, precordial, angină, pectoral, senzație, gol, apăsare, somnolență, greață, vărsătură, encefalopatie, vedere, tinitus, Amauroză, tranzitori, pierdere, Afazie, vorbire, Surditate, tranzitorie, slăbiciune, neliniște, agitație, hipertensiv, amorțeală, Convulsie, tonicoclonic, mort, Criză, dureros, abdominal, Balonare, tranzit, intestinal, cardiace, Turgescență, jugulară, sindrom, Bernheim, confuzie, urină, Hematurie, microscopic, Poliurie"""
Hipertensiunea arteriala la copil,"""durere, de, cap, vedere, piept, hemoragie, nazal, Ede, periferic, tegumentă, sânge, urină, arteriol, tortuos, hemoragiu, feocromocitom, aortă, efort, Fatigabilitate, afecțiune, renal, membru, inferior"""
Hipertensiunea arteriala maligna,"""hemoragiu, edem, papilar, fund, de, sever, vărsătură, tulburare, vizual, cecitate, tranzitoriu, coma, oliguri"""
Hipertensiunea arterială la gravidă,"""proteinurie, preeclampsie, tulburare, de, vedere, al, hemostază, hipertensiune, sever"""
Hipertensiunea arterială secundară de cauză endocrină,"""hipertensiune, arterial, potasiu, hiperaldosteronism, hipokaliemie, sever, slăbiciune, Poliurie, Polidipsie, Macrocheilie, buză, mărit, acromegalie, Macroglosie, limbă, transpirație, excesiv, durere, articulare, sindrom, de, tunel, carpian, tulburare, al, câmp, vizual, insuficiență, hipofizar"""
Hipertensiunea de halat alb (sindromul de halat alb),
Hipertensiunea indusa de sarcina - Preeclampsia si eclampsia,"""hipertensiune, arterial, Proteinurie, proteină, urină, Edemă, periferic, picior, al, față, mână, sever, preeclampsie, durere, epigastru, tulburare, vizual, scotom, luminos, cerebral, frontal, de, cap, migrenă, edem, pulmonar, lichid, Dispnee, respirație, Ral, zgomot, anormal, Purpură, roșii-violacee, piele, Trombocitopenie, trombocită, sindrom, HELLP, Convulsie, tonico-clonic, eclampsie, comă, cefalee, hipogastric, reflex, pupă, congestie, facil"""
Hipertensiunea intracraniana,"""durere, de, cap, mișcare, vărsătură, greață, edem, papilar, umflare, nerv, optic, tulburare, ocular, diplopie, dublu, pareză, încețoșare, tranzitori, al, vedere, Pareză, Nistagmune, iritație, meningeean, Criză, comițial, convulsie, psihic, labilitate, iritabilitate, anxietate, obnubilare, coma"""
Hipertensiunea intracraniana la copil,"""durere, de, cap, vărsătură, cerebral, matinal, greață, Ede, papilar, convergent, Diplopie, omonima, agitație, letargie, comă, semn, vital, tulburare, al, ritm, cardiac, bradicardie, Iritabilita, comportament, agresivitate, iritabilitate, apatie, Sindro, meningeal, sindrom, vestibular, nistagmus, tonus, muscular, torticolis, retinian"""
Hipertensiunea portala,"""hemoragie, digestiv, scaun, melenic, negru, hematemeză, vărsătură, cu, sânge, encefalopatie, confuzie, pierdere, de, memorie, letargie, iritabilitate, alterare, ciclu, splenomegalie, splină, hipocondru, stâng, sângerare, esofagiene/gastric, hematochezie, venă, insuficiență, hepatic, icter, angiom, stelat, eritem, palmar, atrofie, testicular, ginecomastie, contractură, emaciere, coagulopatie, durere, abdominal, febră, peritonită, hernie, paraombilical, hipotensiune, arterial"""
Hipertensiunea pulmonara,"""oboseală, senzație, de, apăsare, picior"""
Hipertensiunea pulmonară (HTP) la gravidă,"""oxigen, insuficiență, ventricular, drept"""
Hipertensiunea renovasculara,"""insuficiență, renal, edem, pulmonar, ace, Proteinurie, minim, insuficientă, antihipertensiv, hipertensiune, sever, de, risc, creatinină, seric, inhibitor, enzimă, conversie, angiotensină, cardiac, abdominal"""
Hipertermia maligna,"""mușchi, scheletic, hipercapnie, tahicardie, sinusal, ventricular, oxigen, Acidoză, respiratorie, metabolica, rigiditate, trismus, succinilcolină, rabdomioli, Mioglobinurie, urină, brun, edem, muscular, Hiperreactivitate, simpatic, aritmie, cardiac, fibrilație, fosfat"""
Hiperticoza,
Hipertiroidia hipofizara (indusa de TSH),"""gușă, difuza, hipertiroidism"""
Hipertiroidism,"""tahicardie, inimă, tulburare, nervozitate, anxietate, iritabilita, tremurăt, al, deget, transpirație, ciclu, menstrual, glandă, gușă, gât, oboseala, slăbiciune, somn, exoftalmie, boală, roșeață, umflare, ochi, sensibilitate, diplopie, inflamație, ocular, paralizie, mușchi, oculomotor"""
Hipertricoza,"""mucoasă, Hipertricoză, hiperplazie, gingivală, Hipertricoza, membru, sindrom, cotu, păros, hipertricoză, congenitală, circumscris, axă, pubis, lanuginos, gust, alterat, modificare, ihtiozic, keratoză, pigmentare, piele, oral, ocluzie, distrofie, hiperpigmentare, umăr, țese, adipos, obezitate, ovare, polichistic"""
Hipertrigliceridemie,"""Xantom, eruptiv, papul, galben, palmar, tuberos, coapsă, durere, abdominal, sensibilitată, greața, vărsătură, Lipemie, sindrom, chilomicronemie, demență, pancreati, anginos"""
Hipertrofia tiroidiană,"""glandă, hipertrofie, gât, compresie, trahee, blocare, aliment, esofag, deglutiție, disfagie, durere, tiroidită, hipotiroidism, hipertiroidism"""
Hipertrofia ventriculară,"""durere, retrosternal, amețeală, fatigabilita, aritmie, cardiace, respirație"""
Hipertrofia ventriculară stângă,"""senzație, de, lipsă, aer, durere, precordial, oboseală"""
Hipervitaminoza (toxicitatea vitaminelor),"""greața, vărsătură, Iritabilita, Somnolență, Vitamina, durere, abdominal, vedere, Fatigabilitate, Anorexie, D, Alopecie, Uscăciune, mucoasă, febră, Insomnie, oboseală, C, tulburare, menstrual, osos, piele, erite, B3, B6, cronică, Neuropatie, senzorial, parestezie, ataxie, paralizie, perioral, colică, renal, Hiperestrogenism, Hemoragiu, rectal, Apatie, slăbiciune, Constipație, cronic, Crampă, Polidipsie, Poliurie, lombar, Calcinoză, aritmie, cardiac, gastric, Diplopie, K3, Anemie, hemolitic, anemia, pernicios"""
Hipoacuzia,"""țiui, Hipoacuzie, sever, profunda"""
Hipoacuzia neurosenzorială (de percepție),"""auditiv, hipoacuzie, Tinitus, boală, Meniere, senzație, de, corp, ureche"""
Hipoacuzie,"""acuitate, auditiv, tinitus, boală"""
Hipoaldosteronismul,"""vărsătură, poftă, de, mâncare, dezvoltare, deficitar, Fatigabilitate, oboseală, Astenie, slăbiciune, greața, hipotensiune, arterial, ortostatic, hipertensiune, șoc, infecție, pulmonar, potasiu, sodiu, Acidoză, metabolica, calciu, urină, aldosteron, renină, plasmatic"""
Hipocalcemia,"""insensibilitate, digital, parestezie, tetanie, iritabilitate, neuromuscular, neliniște, picior, senzație, de, gidilitură, deget, crampă, muscular, spate, inferior, bronhospasm, disfagi, al, voce, laringospasm, iritabilita, depresi, parkinsonis, hemibalis, spas, distonic, confuzie, psihoză, demență, oboseala, convulsie, focal, insuficiență, congestiva, hipotensiune, unghi, edem, papilă, subcapsulara, dentar, hipoplazie, unghie, alopeci, mușchi, nervu, facial, spasm, carpopedal, ischemie, slăbiciune"""
Hipocalcemia la nou-născut,"""vărsătură, Contractilitate, miocardic, Iritabilita, Tremuri"""
Hipocondria (Ipohondria),"""patologie, simptomatologie, rezonanță, magnetic, nuclear, ecocardiografie, bătăil, inimă, peristaltică, intestinal, inflamație, limfatic, inflamare, faringe, organ, cancer, boală, afecțiune, psihiatric, depresie, panică, sindrom, obsesiv-compulsiv, anxietate, generalizat"""
Hipocondroplazia,"""membră, segment, coapsă, gambă, afectare, membru, inferior, rotație, picior, col, femural"""
Hipoestrogenismul,"""greață, estrogen, vărsătură, senzație, de, tensiune, libido"""
Hipofosfatazia,"""Demineralizare, osos, anomalie, al, echilibru, fosfo-calcic, membru, inferior, Deformare, schelet, toracic, Hipoplazie, pulmonar, stagnare, ponderal, rahitism, Proptoza, Hipertelorism, edem, papilar, vărsătură, crani, Tumefiere, metafiză, oasă, durere, juvenil, os, patologic, slăbiciune, femural, bilateral, dentar, dințe, fosfatază, alcalin, fosfoetanolamină, urinar"""
Hipoglicemia,"""Tremuri, anxietate, senzație, de, Slăbiciune, oboseală, confuzie, vedere, încețoșa, coma, alterare, sistem, nervos, simpatic, Iritabilita, focal, hemiplegie"""
Hipoglicemia la nou-născut,"""tahicardia, hipotermie, letargi, iritabilita, dificultate, de, hrănire, cianoza, apneu, slăbiciune, hipotonie, plafonare, buză, crăpa, criză, convulsiv, instabilitate, temperatură"""
Hipogonadismul hipogonadotrop,"""deficit, de, gonadotropină, hormon, LH, FSH, glandă, mamar, pubertate, mucoasă, vaginal, tulburare, al, ciclu, menstrual, Hirsutism, Criptorhidism"""
Hipogonadismul masculin,"""organ, genital, extern, Microcefalie, Necoborâre, testiculă, Perturbare, abilităt, cognitiv, tulburare, al, somn, modificare, de, dispoziție, furie, depresie, testicular, Ginecomastie, visceral, pițigăia, muscular, pubian, proces"""
Hipokaliemia (hipopotasemia),"""aritmie, cardiac, bradicardie, tahicardie, ventricular, fibrilație, Constipație, oboseală, slăbiciune, Spasmă, muscular, Crampă, de, amorțire, rabdomioli, distrugere, fibră, nervos, durere, mușchi, afectare, musculatură, Paralizie, insuficiență, respiratoriu, acut, fl"""
Hipolipidemia (hipocolesterolemia),"""vizual, Neuropatie, senzorial, dismetrie, colesterol, total, LDL-colesterolului, Abetalipoproteinemie, boală, retenție, chilomicron, deficit, staturo-ponderal, tulburare, de, creștere, Acantocitoză"""
Hipolipoproteinemia (hipolipidemia),"""Spasmă, muscular, tulburare, vizual, vedere, dublu, încețoșa, Dismetrie, Ataxie, de, mișcare, dezorganizat, necontrolat, tremor, membrelor/capului/corp, dificultate, vorbire, Neuropatie, senzorial, amorțel, parestezie, membră, durere, intens, ascuțit, slăbiciune, pierdere, coordonare, intoleranță, la, căldură, transpirație, excesiv, al, tensiune, arterial, intestinal, constipație, digestiv, vezical, Malabsorbție, boală, retenție, vitamină, Deteriorare, defici, infecție, amigdală, Tangier, mucoasă, faringian, rectal, Splenomegalie, periferic, hipertiroidism, anemie, cald, oboseală, Paloare, tegumentar, Dispnee, precordial, tip, anginos, febră, cronic, abdominal, inflamatoriu, Teneasmă"""
Hipomagnezemie,"""slăbiciune, tetanie, depresie, torsadă, virfure, fibrilație, ventriculară, hiperexcitabilitate, neuromuscular, apatia, anorexi, vărsătură, crampă, muscular, hiperreflexie, depresi, hipertensiune"""
