Disease,Recommendations
Maskne - Acneea provocată de purtarea măștii,"Curățarea feței regulat cu produse blânde. Spălarea tenului dimineața, seara și după purtarea măștii. Hidratarea tenului după curățare cu produse blânde, non-comedogenice. Aplicarea SPF și așteptarea absorbției înainte de mască. Evitarea machiajului sau utilizarea produselor non-comedogenice. Evitarea utilizării de aftershave înainte de purtarea măștii (pentru bărbați). Igiena cavității orale. Evitarea introducerii produselor noi în rutina de îngrijire. Hidratarea buzelor. Alegerea unei măști de dimensiune potrivită. Alegerea unei măști din material moale, respirabil (ex: bumbac). Evitarea măștilor din materiale sintetice (polistiren, nailon). Considerarea măștilor textile cu argint, oxid de zinc, oxid de cupru. Purtarea măștilor cu cel puțin 2 straturi. Scurte pauze în purtarea măștii (15 min la 4 ore) în condiții de siguranță. Igienizarea mâinilor la manipularea măștii. Înlocuirea măștii frecvent. Curățarea măștilor reutilizabile după fiecare purtare cu detergent tolerat. Consultarea medicului dermatolog dacă simptomele se agravează. Continuarea tratamentului pentru acnee preexistentă, dacă este cazul."
Actinomicoza,"Tratament indelungat cu antibiotice. Individualizarea tratamentului in functie de tipologia pacientului si severitatea bolii. Administrare parenterala initiala (ex. Penicilina i.v. pana la 6 saptamani in cazuri severe). Extinderea terapiei antibiotice pe o perioada suficienta, depasind rezolutia clinica, pentru a preveni recaderile. Tratament chirurgical (in unele cazuri, asociat cu terapia medicamentoasa). Drenaj percutan al colectiilor purulente (abcese), ca optiune terapeutica. Abordare terapeutica combinata (medicamentoasa si chirurgicala) pentru abcesele cerebrale. Indepartarea dispozitivului intrauterin (sterilet) in cazul bolii pelvine asociate. Tratament empiric cu antibiotice (minim 2 saptamani) dupa indepartarea steriletului, in caz de suspiciune de actinomicoza pelvina incipienta. Evitarea administrarii de antibiotice inainte de prelevarea probelor biologice pentru diagnostic microbiologic. Igiena dentara riguroasa. Monitorizarea atenta a pacientelor cu dispozitiv intrauterin care prezinta detectarea microorganismelor patogene in probele cervicale/endometriale, in absenta simptomelor."
Adenita (Limfadenita),"Repaus. Îngrijire personală adecvată a zonei afectate. Aplicarea unei comprese reci pe zona afectată. Aplicarea unei comprese calde pe zona afectată. Drenaj chirurgical (în caz de abces). Tratament specific pentru infecția virală cauzatoare (dacă este cazul). Chimioterapie (pentru cauze grave precum limfomul). Radioterapie (pentru cauze grave precum limfomul). Îndepărtarea chirurgicală a ganglionilor limfatici afectați (în cazuri rare). Vaccinare (pentru prevenirea unor infecții virale precum oreion, rubeolă). Igienă riguroasă (spălarea mâinilor). Evitarea contactului cu persoane bolnave. Folosirea echipamentului de protecție în timpul activităților sportive."
Adenocarcinomul de colon,"tratament chirurgical (excizie fragment mucoasă, rezecție colon, colostomă). ablație radiologică. radioterapie. adoptarea unei diete bogate în legume și fructe (prevenție). creșterea cantității de activitate fizică zilnică (prevenție). extirparea precoce a polipilor intestinali (prevenție). Colonoscopie diagnostică. Investigații imagistice (RMN, CT, angiografie, PET-CT). Biopsie cu examen histopatologic."
Adenocarcinomul gastric,Rezecție gastrică (parțială sau totală). Excizia ganglionilor limfatici adiacenți și a splinei (limfadenectomie). Radioterapie.
Adenocarcinomul pancreatic,"Terapie sistemică (chimioterapie) - primă linie, a doua linie. Rezecție chirurgicală (pentru boala rezecabilă). Duodenopancreatectomie (procedură chirurgicală specifică). Tratament neoadjuvant (înainte de operație). Tratament adjuvant (după operație). Radioterapie. Chimioradioterapie (concomitentă). Radioterapie stereotactică. Terapie de menținere. Terapii țintite (bazate pe biomarkeri/mutații). Imunoterapie (inhibitori PD-1/PD-L1/CTLA-4, ex. Pembrolizumab pentru MSI-H). Îngrijire paliativă (managementul simptomelor și complicațiilor). Plasarea de stenturi biliare/gastrice (prin ERCP). Consiliere genetică (pentru pacienți și familii cu risc). Screening la persoanele cu risc înalt (ecografie endoscopică). Evaluarea statusului de performanță. Monitorizare imagistică (CT, RMN, PET-CT). Testare biomarkeri (CA 19-9, ACE etc.). Testare genetică/moleculară (BRCA, MSI, ALK, etc.). Managementul toxicităților tratamentului (neutropenie, diaree, trombocitopenie, neuropatie)."
Adenoidita,Dezobstrucție nazală. Antibioterapie energică și prelungită. Examen otoscopic pentru monitorizarea complicațiilor otice. Adenoidectomie (intervenție chirurgicală de îndepărtare a vegetațiilor adenoide - pentru forma cronică). Amigdalectomie / Tonsilectomie (poate fi asociată cu adenoidectomia). Supravegherea pacientului. Gimnastică respiratorie. Cură heliomarină.
Adenom suprarenalian,"Monitorizarea periodică a adenoamelor nesecretante (evaluarea dimensiunii și a secreției). Tratament chirurgical pentru adenoamele suprarenaliene secretante. Monitorizare prin CT la 6-12 luni pentru evaluarea dimensiunii. Dozări hormonale anuale, pe o perioadă de 5 ani (mai ales pentru tumorile peste 5 cm). CT de control la 3-6 luni și ulterior anual, timp de 2 ani, pentru adenoamele peste 3 cm cu densitate nativă peste 10 UH. Tratament chirurgical dacă adenomul crește cu peste 0,8 cm în 3-12 luni. Testul de supresie nocturn cu 1 mg Dexametazonă. Monitorizarea raportului renină/angiotensină. Dozarea catecolaminelor urinare și a metaboliților anual sau la nevoie."
Adenomioza,Histerectomia (singura metoda care vindeca complet problema).
Adenomul cromofob,Extirparea chirurgicală a formațiunii tumorale. Hipofizectomie (îndepărtarea chirurgicală a glandei hipofize în totalitate). Radioterapia (aplicarea razelor Rontgen pentru distrugerea țesutului tumoral). Hipofizoliza (distrugerea formațiunii tumorale hipofizare prin intermediul substanțelor radioactive).
Adenomul de prostata,"Supraveghere activa (pentru pacienți asimptomatici sau cu simptome usoare). Rezecția transuretrală a prostatei (RTU). Incizia transuretrală cervico-prostatică. Adenomectomia transvezicală (interventie deschisa). Dilatatia prostatica transuretrala cu balon. Hipertermia cu microunde transuretrala. Stenturi metalice plasate in uretra prostatica. Coagularea cu laser. Montarea unei sonde uretrale Foley (temporar, pentru normalizarea functiei renale in caz de insuficienta). Antibioterapie pre-, intra- si postoperatorie (in caz de infectie)."
Adenomul hepatic,"Încetarea administrării contraceptivelor orale. Încetarea administrării steroizilor anabolizanți. Rezecție chirurgicală (pentru tumori simptomatice, >5 cm, nivele crescute alfa-fetoproteină, sau la paciente care doresc sarcină). Supraveghere imagistică (ecografie) și monitorizare alfa-fetoproteină (pentru leziuni nerezecate). Evitarea sarcinii (în absența rezecției). Embolizare arterială (în caz de sângerare acută sau risc înalt). Rezecție chirurgicală laparoscopică (pentru tumori mici, anterolaterale sau pedunculate). Rezecție locală sau lobectomie segmentară parțială. Rezecție chirurgicală în trimestrul al doilea pentru adenoame mari descoperite în sarcină."
Adenomul hipofizar,Microchirurgie transfenoidală. Microchirurgie translabială. Craniotomie (pentru macroadenoame). Radioterapie convențională. Radiere cu particule grele. Gamma knife (radiochirurgie stereotactică).
Adenopatia (Limfadenopatia),"Tratamentul este determinat de etiologia de fond specifică a limfadenopatiei. Biopsia nodulară sau aspirația cu ac fin (indicată dacă dimensiunea, localizarea sau caracterul limfadenopatiei sugerează neoplasm). Intervenție de urgență (în sindromul de venă cavă superioară). Radioterapie (în sindromul de venă cavă superioară). Hemoleucogramă completă cu evaluarea sângelui periferic. Evaluarea ratei de sedimentare a eritrocitelor (VSH). Evaluarea funcției hepatice și renale. Analiza urinei. Dozare lactic dehidrogenază (LDH), acid uric, calciu, fosfat. Testare pentru tuberculoză. Cultura nodulilor limfatici (dacă se suspicionează limfadenită). Evaluare pentru bacteriemie sau virusologie (în limfadenopatia generalizată). Radiografie toracică. Tomografie computerizată (CT) abdominală sau toracică (indicată de adenopatia supraclaviculară). Echografie."
Adenopatia inghinală,"Tratamentul depinde de cauza specifică a adenopatiei. Combaterea infecției care stă la baza afecțiunii. Gestionarea simptomelor și controlarea bolii de bază (în cazul afecțiunilor autoimune). Intervenții chirurgicale (în caz de cancer). Radioterapie (în caz de cancer). Menținerea unei bune igiene personale (spălarea zonei genitale cu apă și săpun regulat). Evitarea infecțiilor cu transmitere sexuală (folosirea prezervativului, evitarea contactului sexual cu persoane infectate). Menținerea unui sistem imunitar sănătos (alimentație echilibrată, somn adecvat, exerciții fizice regulate). Monitorizarea oricăror schimbări în zona inghinală și consult medical."
Adenopatie axilară (ganglioni palpabili în axilă),"Tratamentul bolii de fond care a dus la apariția adenopatiei. Limfadenectomie (îndepărtare chirurgicală a ganglionilor afectați). Chimioterapie (ca metodă generală). Imunoterapie (ca metodă generală). Radioterapie. Splenectomie (în contextul leucemiilor/limfoamelor). Transplant medular (în contextul leucemiilor/limfoamelor). Tratament chirurgical al neoplasmului mamar (conservator sau mastectomie). Igienă orală (recomandată în mononucleoză). Protejarea ficatului (recomandată în mononucleoză). Plasmafereză (în forme severe de LES). Sinovectomie (în artrita reumatoidă severă). Alte intervenții chirurgicale (în funcție de necesitate, ex. artrită reumatoidă)."
Adenopatii cervicale,"Aplicarea topică de comprese umede și calde (terapie simptomatică). Tratamentul etiologic (eliminarea agentului cauzator). NU se recomandă terapia cu antibiotic înainte de decelarea agentului cauzator. Consultarea unui specialist (dacă adenopatia persistă > 2-4 săptămâni, asociată cu simptome generale sau dureri locale). Efectuarea unei antibiograme (în cazul ideal, pentru infecții bacteriene). Biopsie ganglionară (pentru diagnostic). Ultrasonografie (pentru evaluare locală și diagnostic). Hemoleucogramă completă (pentru orientare diagnostică, ex. afecțiuni hematologice). Teste ELISA (pentru suspiciune HIV). Teste serologice (pentru toxoplasmoză, citomegalovirus, virus herpes simplex, virus Epstein-Barr). Computer-tomografie (CT) (pentru evaluarea naturii nodulilor și posibile invazii metastatice)."
Adenoza vaginală,Rezecția chirurgicală completă a leziunilor. Terapia laser (pentru leziuni superficiale). Crioterapia (pentru leziuni superficiale). Cauterizarea (pentru leziuni superficiale). Aplicarea topică de soluții de nitrat de potasiu 10-20% sau dicromat de potasiu (pentru necroza leziunii și exfoliere). Supraveghere pe termen lung (monitorizare periodică). Protocoale de tratament specifice cancerului vaginal (în caz de hiperplazie atipică sau transformare malignă).
Adeziuni labiale,Supraveghere periodică (în cazurile asimptomatice). Așteptarea rezoluției spontane la pubertate. Aplicarea de cremă emolientă cu vitamina A și D pentru prevenirea reapariției. Separarea manuală (efectuată de medic). Separarea chirurgicală (în cazuri severe sau eșec al terapiei medicale). Anestezie locală sau sedare pentru separarea manuală/chirurgicală. Aplicarea unui emolient (ex: cremă antibiotică) de câteva ori pe zi timp de câteva luni după separare pentru a preveni reformarea adeziunilor.
ADHD - Deficit de atentie - Tulburare hiperkinetica,"Terapie individualizata. Tratament combinat. Educatia medicala a pacientului, a familiei, a educatorului, a profesorilor. Stabilirea unui program cu rigurozitate. Alternarea activitatilor de invatare cu cele de relaxare. Notarea sarcinilor, temelor si responsabilitatilor. Trainingul parintilor. Terapia comportamentala (insusirea de noi strategii comportamentale, controlul reactiilor). Psihoterapia (mai ales cand se asociaza anxietate, dependenta sau depresie). Ergoterapia. Practicarea regulata a activitatilor sportive (ex: echitatie, catarat, judo)."
ADHD la adulți,"Consiliere psihologică. Terapie farmacologică (ca parte a abordării combinate). Programe de psihoeducație. Grupuri de suport. Terapie cognitiv-comportamentală (pentru organizare, auto-reglare emoțională, calitatea vieții, interacțiuni sociale)."
Adiposis dolorosa - neurolipomatoza,"Tratament simptomatic (niciun tratament nu poate modifica cursul bolii). Băile calde (efect calmant de scurtă durată). Liposucția (ameliorează durerea și calitatea vieții, rezultate diminuate în timp). Excizia lipoamelor izolate dureroase (ameliorează durerea locală, nu preventivă)."
Adrenoleucodistrofia,Dietă alimentară cu uleiul Lorenzo (glicerin trioleat și glycerin trierucate). Dietă cu alimente slabe în acizi grași cu lanțuri mici. Transplant de celule stem hematopoietice (în forme asimptomatice sau ușor simptomatice). Transplant de celule stem din cordonul ombilical (alternativă).
Aerofagia,Modificarea stilului de viață. Modificarea dietei. Controlarea respirației (mai ales în stări de nervozitate). Evitarea tragerii adânci a aerului în piept înainte de a vorbi. Oprirea consumului de băuturi acidulate. Oprirea folosirii gumei de mestecat. Ajustarea setărilor aparatelor CPAP sau a ventilației non-invazive (sub supraveghere medicală). Testarea pentru intoleranța la lactoză. Identificarea și tratarea cauzei de bază.
